id,text,author_id,location,referenced_tweets,source,language,created_at,attachments
1211607197123104768,"I request @narendramodi and @PMOIndia that if any one abuses as Mad to anyone should be offence. It's high time we should focus on #MentalHealth to avoid #KushalPunjabi like #Suicide. #MentallyFitIndia 
https://t.co/JoMWMauWCB https://t.co/keMfsqeXI8",171624731,"Rajendra Nagar, India",,Twitter for Android,en,2019-12-30 11:17:21+00:00,
1211462360403083265,"Advocate. Educate. Love. Accept.
This is what an Autistic need. 😌 💌 📚 💕

Get in touch with us for the treatment, call us at +91-9766547119 ☎ or visit 🌐 https://t.co/iRfbUf7ojo

#SynapseMindCare #Psychiatrist #MentalHealth #Wellbeing #ChildPsychiatrist #Autism #India https://t.co/Fs8m1SDK8o",861615644,"Dattapur Dhamangaon, India",,Twitter for Android,en,2019-12-30 01:41:49+00:00,
1211198111277707264,IMPORTANT THREAD #MentalHealth https://t.co/ZBAkNvVoHs,109892153,"Bengaluru South, India",,Twitter for iPhone,en,2019-12-29 08:11:47+00:00,
1210972386805157888,"Mental flexibility is even more important than physical flexibility. Stretch your body and mind both.. 
#yoga #yogaeverydamnday #Mentalhealth #flexibility #yogalife #yogalove #yogapractice #soham_arpana #yogaNwellness https://t.co/cBbzgzcmfT",1188817909235113984,"Bengaluru, India",,Twitter for iPhone,en,2019-12-28 17:14:50+00:00,
1210921520492695552,"Confidence is what makes you stand out!

.
.
.
.
.
.
 #confidence #pawanutwani #pawan #mumbai #andheri #mumlife #men #mensfashion #mensstyle #mentalhealth #menshair #menfashion #menfashionblogger #menmodel #model… https://t.co/u5O8PYQWxI",177143120,"Mumbai, India",,Instagram,en,2019-12-28 13:52:42+00:00,
1210909244209295362,"@JamieAdStories Hi, I write poetry https://t.co/Q72HAU7ynA and blog on #Mentalhealth https://t.co/VysiaFKtUF",1035185642236456960,"Noida, India",,Twitter for Android,en,2019-12-28 13:03:56+00:00,
1210909201318367232,"@JamesMGeary Hi, I write poetry https://t.co/Q72HAU7ynA and blog on #Mentalhealth https://t.co/VysiaFKtUF",1035185642236456960,"Noida, India",,Twitter for Android,en,2019-12-28 13:03:45+00:00,
1210909012222308355,"@meleamacwriter Hi, I write poetry https://t.co/Q72HAU7ynA and blog on #Mentalhealth https://t.co/VysiaFKtUF",1035185642236456960,"Noida, India",,Twitter for Android,en,2019-12-28 13:03:00+00:00,
1210908920102785025,"@MaeneSigne Hi, I write poetry https://t.co/Q72HAU7ynA and blog on #Mentalhealth https://t.co/VysiaFKtUF",1035185642236456960,"Noida, India",,Twitter for Android,en,2019-12-28 13:02:38+00:00,
1210908834576793601,"@jamessauthor Hi, I write poetry https://t.co/Q72HAU7ynA and blog on #Mentalhealth https://t.co/VysiaFKtUF",1035185642236456960,"Noida, India",,Twitter for Android,en,2019-12-28 13:02:18+00:00,
1210901115161792512,"One more life lost to suicide...where are we going wrong as a society? Are we not real with each other to share what we feel? It's high time we #mpower ourselves against #mentalhealth stigma. Let no one feel alone.
@DrHarish139 @NeerjaBirla 
RIP @PunjabiKushal",849145524741709824,"Mumbai, India",,Twitter for Android,en,2019-12-28 12:31:37+00:00,
1210829015973367809,(5/5) needs to be fought alone. There's always a way out! Rest in Peace #KushalPunjabi! 💔 #Mentalhealth #MentalHealthAwareness #MentalHealthMatters #SuicideAwareness #SuicidePrevention #MentalHealthAtChristmas #DepressionIsReal #DepressionPills #depressiontreatment #depression https://t.co/w6XsP3L1GG,1128607349319487489,"Rajendra Nagar, India",,Twitter for Android,en,2019-12-28 07:45:08+00:00,
1210796695295942658,"#racism #RacismStillAlive
#mentalillness #Mentalhealth
#MentalHealthAwareness
#MentalHealthMatters

The Racism Discussion with Oprah &amp; Jane Elliot part 2

https://t.co/Qy8M3UV9Hk",176711608,Bhavnagar Para,,Twitter for Android,en,2019-12-28 05:36:42+00:00,
1210794822912499715,"#racism #RacismStillAlive
#mentalillness #Mentalhealth
#MentalHealthAwareness
#MentalHealthMatters

Racism is a mental illness by living legend Jane Elliot 

https://t.co/Hn4iP2kyyA",176711608,Bhavnagar Para,,Twitter for Android,en,2019-12-28 05:29:15+00:00,
1210771203259977729,"Deeply heartbroken to read about #KushalPunjabi this morning.. Money can't buy happiness, young deaths are heart wrenching.... #depression level is going up day by day.. We need to open up our hearts more often than our pockets... #Suicide #Mentalhealth",101392080,"Mumbai, India",,Twitter for Android,en,2019-12-28 03:55:24+00:00,
1210626301687549959,There’s no reason to justify 1 person’s #depression being more acceptable than another person’s. Whether a glass drops from the 10th flr or you trip &amp; break it -it still shatters the glass.The result is the same.U shouldn’t have to list/explain ur reason for #grief #Mentalhealth,14300962,"Mumbai, India",,Twitter for iPhone,en,2019-12-27 18:19:37+00:00,
1210533110049230849,"#Mindroot foundation, Jaipur - great job of spreading #mentalhealth awareness. It was a pleasure to be a part of this event by @DrDara2 &amp; sensitize the budding doctors of Rajasthan to the nuances of Substance Use. Hope some of them develop an interest in #addiction Psychiatry. https://t.co/ZpEp5FKpjA",104476935,"New Delhi, India",,Twitter for Android,en,2019-12-27 12:09:18+00:00,
1210530680171421697,"Worth reading.⬇️
https://t.co/W0B2H8bNZZ

#FridayVibes #Facebook 
#psychology #psychic #psychological #people #problems #Mentalhealth #MentalHealthMatters https://t.co/Oj9Hxyznwn",1123613316687908864,"New Delhi, India",,Twitter for iPhone,en,2019-12-27 11:59:39+00:00,
1210517050881392646,"No matter which profession you are in, people maybe going though something or the other. 

Learning is: Never leave ur friends, near &amp; dear ones alone in their hard times.

Rather, let's keep meeting friends otherwise also.

#FridayThoughts
#MentalHealthMatters
#mentalhealth https://t.co/IId6bXZOma",195725262,"Ahmadabad City, India",,Twitter for Android,en,2019-12-27 11:05:29+00:00,
1210418140187807744,That should be really Magic if we heal Without effort.. #Mentalhealth #PeaceAndLove #peace #MentalHealthAwareness #MentalHealthMatters https://t.co/9RXFC7JXe9,1188817909235113984,"Bengaluru, India",,Twitter for iPhone,en,2019-12-27 04:32:27+00:00,
1210255081116798976,@ThinkinHashtag @opdroid1234 Depression not a function of education and exposure. Particularly Bipolar. People like Bourdain go thru periods of intense highs and low. Then there are drugs etc. Troubled relationships. Not easy to control. Like any other ailment - treatment no guarantee for cure. #Mentalhealth,47083884,"Kolkata, India",,Twitter for iPad,en,2019-12-26 17:44:31+00:00,
1210153052621221888,"ALWAYS THE CASE 🎬

Surround yourself with only people who are going to lift you higher.✌️
:
:
:
:
:

#focus #instagood #inspire #training #mentalhealth #lifecoach #believe #personaldevelopment #meditation… https://t.co/aAVNyaJuFc",43487348,"Mumbai, India",,Instagram,en,2019-12-26 10:59:05+00:00,
1209880542868426753,"Dubbing my dialogues for new #Kannada #feature titled #Khinna 

#Mentalhealth #depression #SpeakOut https://t.co/rtYTNjeATe",36425563,"Bengaluru South, India",,Twitter for Android,en,2019-12-25 16:56:14+00:00,
1209805962594283520,"#HappyChristmas Synapse Mind Care wishes you and your family a Merry Christmas. ❄🌲

#SynapseMindCare #Nagpur #Psychiatry #ChildPsychiatrist #MentalHealth https://t.co/88FRLGFDWA",861615644,Laxmi Nagar,,Twitter for Android,en,2019-12-25 11:59:53+00:00,
1209796925467156481,"Another #Year2019 about to end, finishing more than 20 years in #psychiatry..worked in three premier institutes of country..involved in almost all aspects of #Mentalhealth- #PatientCare #Teaching #Training #Policymaking #advocacy #education..still learning..#ThankYou everyone https://t.co/JW38kSpVXG",1678403144,"New Delhi, India",,Twitter for Android,en,2019-12-25 11:23:58+00:00,
1209670951765327873,"This is extremely important... #psychiatrist #trauma #Mentalhealth #MentalHealthMatters #PTSDtreatment #PTSD #stress professionals, NGOs, doctors, hospitals plz..your services are needed..if you can..if not spread the word..@deepikapadukone @ndtv @ThePrintIndia @CNN @guardiannews https://t.co/zrd5UX4myP",27618670,"Bengaluru, India",,Twitter for iPhone,en,2019-12-25 03:03:24+00:00,
1209536619088236544,Important #Mentalhealth #StayStrong #loveyourself https://t.co/PzozUST2DK,251259997,"Mylapore Tiruvallike, India",,Twitter for Android,en,2019-12-24 18:09:36+00:00,
1209491033785942016,"The burden of mental disorders across the states of India: the Global Burden of Disease Study 1990–2017.

One in seven Indians were affected by mental disorders of varying severity in 2017. 

#Mentalhealth #MentalHealthMatters
#MentalHealthAwareness 
https://t.co/gXx0RsvrkS",1655636413,"Noida, India",,Twitter for Android,en,2019-12-24 15:08:28+00:00,
1209426185916014593,"Hosting a safe space to discuss vulnerability during distressing times.   The world can be a difficult place, especially during times of political crisis. Hosting this safe space as a form of self preservation and care. Come join us on the 28th (1/n) #Mentalhealth #queerspaces https://t.co/c8kR9tHcxu",523379582,"Chennai, India",,Twitter for iPhone,en,2019-12-24 10:50:47+00:00,
1209087232402804747,#MentalHealthAwareness #mentalhealth #MentalHealthMatters #depressionsurvivor #selflove https://t.co/6eJxzcmc7P,264310156,"Kolkata, India",,Twitter for Android,qht,2019-12-23 12:23:54+00:00,
1209062224825704448,"First comprehensive estimates of disease burden due to mental disorders &amp; their trends in India @thePHFI
@TheLancetPsych https://t.co/QyVFRN7Tjf 
@MoHFW_INDIA @ICMRDELHI
@NITIAayog @IHME_UW 
#Mentalhealth #GBDIndia #StateLevelMentalDisordersTrends https://t.co/0WV8E02zVu https://t.co/LDSKviFEM3",728482844821970944,"Bengaluru South, India",,Twitter for Android,en,2019-12-23 10:44:32+00:00,
1209037986857242624,Facing issues due to middle name kelvin as I forgot 1/T = dS/dE details on Facebook. Also facing issues due to deleted email and google scholar inbox skipping #Mentalhealth,158297727,"Bengaluru South, India",,Twitter for iPhone,en,2019-12-23 09:08:13+00:00,
1208724521986842625,This Thread #Mentalhealth abuse at national level #Gaslighting #RamlilaMaidan https://t.co/7MnyzozMFu,2336701370,"New Delhi, India",,Twitter for Android,en,2019-12-22 12:22:37+00:00,
1208622276217839616,"A very simple rule for Success that we need to learn.

Just try 1 more time in a different way... before you decide to QUIT...!

:
:
:
:
#successquotes #positivity #happy #millionaire #mentalhealth #instagood… https://t.co/lMgyVSHZGy",43487348,"Mumbai, India",,Instagram,en,2019-12-22 05:36:20+00:00,
1208438428829962240,"“You look pretty…I look pretty…why don’t we go home and stare at each other?” ~ Johnny bravo❤️
.
.
.
.
.
#belike #johnnybravo #notjohnnysins #malemodels #mensfashion #mentalhealth #mensstyle #menswear #menshair… https://t.co/NY287vViV0",1266148674,"New Delhi, India",,Instagram,en,2019-12-21 17:25:47+00:00,
1208258461076602881,"A terrific chat with #ShaheenBhatt on #MentalHealth. An insightful, important &amp; timely book written beautifully, by her. Go get your copy of #IveNeverBeenUnHappier. What rockstar daughters you have @MaheshNBhatt @Soni_Razdan - @PoojaB1972 @aliaa08 Shaheen. @PenguinIndia https://t.co/NqaYiNw1yD",32815263,Soho House,,Twitter for iPhone,en,2019-12-21 05:30:40+00:00,
1208235992378826752,"Depression isn't a friend that you want to keep forever... Learn to say goodbye to this friend before the end of this year! 

#depression #depressionhelp #mentalhealth #therapy #samaagraha @ Samaagraha - The… https://t.co/Y8WtYMI0e8",14553816,"Daskroi, India",,Instagram,en,2019-12-21 04:01:23+00:00,
1208103867755483137,"A little something that the @taalinc #TherapyRoom #Team is offering in light of the situation around us today! We're here to listen...
.
#TaalInc #ArtTalks #ArtHeals #SelfLove #SelfCare #MentalHealth #Art… https://t.co/Gnryixl0Ix",731827949150687232,"Haveli, India",,Instagram,en,2019-12-20 19:16:22+00:00,
1208076974792548355,"""My eyes are open: and it still dark"" - and that's okay...!!
Your heart is pure... Ask for help❣️🌹
.
.
.
#mentalhealth
#nevergiveup
#neverstopexploring 
#neverforget 
#neverquit @ Delhi, India https://t.co/8rQDxENKUb",819942406619545603,"New Delhi, India",,Instagram,en,2019-12-20 17:29:30+00:00,
1208047186396643328,"@museofdestiny Hi, I write poetry https://t.co/Q72HAU7ynA and blog on #mentalhealth https://t.co/VysiaFKtUF",1035185642236456960,"Noida, India",,Twitter for Android,en,2019-12-20 15:31:08+00:00,
1208047113117958150,"@UKavyajanani Hi, I write poetry https://t.co/Q72HAU7ynA and blog on #mentalhealth https://t.co/VysiaFKtUF",1035185642236456960,"Noida, India",,Twitter for Android,en,2019-12-20 15:30:50+00:00,
1208046911673884673,"@ravaghi Hi, I write poetry https://t.co/Q72HAU7ynA and blog on #mentalhealth https://t.co/VysiaFKtUF",1035185642236456960,"Noida, India",,Twitter for Android,en,2019-12-20 15:30:02+00:00,
1208046874969567234,"@JenniCurtisYA Hi, I write poetry https://t.co/Q72HAU7ynA and blog on #mentalhealth https://t.co/VysiaFKtUF",1035185642236456960,"Noida, India",,Twitter for Android,en,2019-12-20 15:29:54+00:00,
